"3-комн. кв., 85,9 м², 19/20 этаж",https://kaluga.cian.ru/sale/flat/214307491/,"Калужская область, Калуга, Октябрьский, мкр. Новые Черемушки, переулок Хрустальный",4 535 520 ₽
"3-комн. кв., 84,3 м², 20/20 этаж",https://kaluga.cian.ru/sale/flat/214307487/,"Калужская область, Калуга, Октябрьский, мкр. Новые Черемушки, переулок Хрустальный",4 535 340 ₽
"3-комн. кв., 90 м², 17/18 этаж",https://kaluga.cian.ru/sale/flat/225547164/,"Калужская область, Калуга, Московский, мкр. 30-й, улица Кибальчича",5 100 000 ₽
"3-комн. кв., 86,9 м², 2/15 этаж",https://kaluga.cian.ru/sale/flat/227165491/,"Калужская область, Калуга, Ленинский, мкр. Правобережье, улица 65 лет Победы, 21",5 405 180 ₽
"3-комн. кв., 87,8 м², 6/14 этаж",https://kaluga.cian.ru/sale/flat/228295052/,"Калужская область, Калуга, Ленинский, мкр. Правобережье-2, улица 65 лет Победы, 29",5 600 000 ₽
"3-комн. кв., 81,5 м², 7/9 этаж",https://kaluga.cian.ru/sale/flat/231231707/,"Калужская область, Калуга, Ленинский, мкр. Правобережье, улица Георгия Димитрова, 24",5 900 000 ₽
"3-комн. кв., 83,9 м², 6/6 этаж",https://kaluga.cian.ru/sale/flat/228556469/,"Калужская область, Калуга, Ленинский, улица Дзержинского",6 300 000 ₽
"3-комн. кв., 101,5 м², 2/9 этаж",https://kaluga.cian.ru/sale/flat/230967769/,"Калужская область, Калуга, Ленинский, Воскресенский переулок",6 688 850 ₽
"3-комн. кв., 106 м², 2/9 этаж",https://kaluga.cian.ru/sale/flat/228452678/,"Калужская область, Калуга, Ленинский, Воскресенский переулок",6 815 800 ₽
"3-комн. кв., 102,5 м², 5/9 этаж",https://kaluga.cian.ru/sale/flat/230956059/,"Калужская область, Калуга, Ленинский, Воскресенский переулок",7 164 750 ₽
"3-комн. кв., 113,5 м², 2/6 этаж",https://kaluga.cian.ru/sale/flat/222113804/,"Калужская область, Калуга, Ленинский, улица Кирова, 23",9 420 500 ₽
"3-комн. кв., 126 м², 5/6 этаж",https://kaluga.cian.ru/sale/flat/222113814/,"Калужская область, Калуга, Ленинский, улица Кирова, 23",10 458 000 ₽
"3-комн. кв., 139,1 м², 5/6 этаж",https://kaluga.cian.ru/sale/flat/222113822/,"Калужская область, Калуга, Ленинский, улица Кирова, 23",11 545 300 ₽
"3-комн. кв., 103,6 м², 2/9 этаж",https://kaluga.cian.ru/sale/flat/231223934/,"Калужская область, Калуга, Ленинский, Воскресенский переулок",6 827 240 ₽
"3-комн. кв., 65 м², 8/9 этаж",https://kaluga.cian.ru/sale/flat/226431117/,"Калужская область, Калуга, Московский, бульвар Моторостроителей, 3",3 400 000 ₽
"3-комн. кв., 58,8 м², 4/5 этаж",https://kaluga.cian.ru/sale/flat/230451863/,"Калужская область, Калуга, Ленинский, улица Большевиков, 2",3 300 000 ₽
"3-комн. кв., 83,8 м², 3/5 этаж",https://kaluga.cian.ru/sale/flat/230474493/,"Калужская область, Калуга, Московский, мкр. Силикатный, улица Гурьянова, 10к2",3 600 000 ₽
"3-комн. кв., 59 м², 2/5 этаж",https://kaluga.cian.ru/sale/flat/229358152/,"Калужская область, Калуга, Ленинский, мкр. Куровской, Строительная улица",1 850 000 ₽
"3-комн. кв., 56 м², 4/5 этаж",https://kaluga.cian.ru/sale/flat/229358527/,"Калужская область, Калуга, Ленинский, улица Степана Разина",2 320 000 ₽
"3-комн. кв., 50,5 м², 5/5 этаж",https://kaluga.cian.ru/sale/flat/229357677/,"Калужская область, Калуга, Октябрьский, Хрустальная улица",2 390 000 ₽
"3-комн. кв., 49 м², 5/5 этаж",https://kaluga.cian.ru/sale/flat/229350873/,"Калужская область, Калуга, Ленинский, мкр. Анненки, улица Вишневского",2 400 000 ₽
"3-комн. кв., 50 м², 5/5 этаж",https://kaluga.cian.ru/sale/flat/229358146/,"Калужская область, Калуга, Октябрьский, улица Маршала Жукова",2 499 000 ₽
"3-комн. кв., 57,7 м², 3/5 этаж",https://kaluga.cian.ru/sale/flat/229358948/,"Калужская область, Калуга, Ленинский, мкр. Куровской, улица Куровская",2 500 000 ₽
"3-комн. кв., 72 м², 4/5 этаж",https://kaluga.cian.ru/sale/flat/229358917/,"Калужская область, Калуга, Московский, мкр. Силикатный, улица Гурьянова",2 590 000 ₽
"3-комн. кв., 60,3 м², 1/5 этаж",https://kaluga.cian.ru/sale/flat/229357654/,"Калужская область, Калуга, Октябрьский, мкр. 906-я база, Гвардейская улица",2 550 000 ₽
"3-комн. кв., 43,3 м², 3/5 этаж",https://kaluga.cian.ru/sale/flat/229358304/,"Калужская область, Калуга, Октябрьский, улица Болотникова",2 600 000 ₽
"3-комн. кв., 50 м², 5/5 этаж",https://kaluga.cian.ru/sale/flat/229359039/,"Калужская область, Калуга, Октябрьский, мкр. Северный, Дорожная улица",2 750 000 ₽
"3-комн. кв., 58 м², 2/5 этаж",https://kaluga.cian.ru/sale/flat/229358250/,"Калужская область, Калуга, Московский, улица Глаголева",2 750 000 ₽
"3-комн. кв., 73,8 м², 1/3 этаж",https://kaluga.cian.ru/sale/flat/229358913/,"Калужская область, Калуга, Ленинский, мкр. Ромодановские Дворики, улица Ромодановские Дворики",2 800 000 ₽
"3-комн. кв., 62,7 м², 5/5 этаж",https://kaluga.cian.ru/sale/flat/229358009/,"Калужская область, Калуга, Ленинский, улица Мичурина",2 800 000 ₽
"3-комн. кв., 70,2 м², 1/2 этаж",https://kaluga.cian.ru/sale/flat/229358891/,"Калужская область, Калуга, Ленинский, улица Красная Гора",2 900 000 ₽
"3-комн. кв., 67 м², 1/9 этаж",https://kaluga.cian.ru/sale/flat/229350727/,"Калужская область, Калуга, Октябрьский, мкр. Северный, Дорожная улица",2 900 000 ₽
"3-комн. кв., 70,3 м², 1/7 этаж",https://kaluga.cian.ru/sale/flat/229358064/,"Калужская область, Калуга, Московский, мкр. Байконур, Звездная улица",3 000 000 ₽
"3-комн. кв., 56,5 м², 5/5 этаж",https://kaluga.cian.ru/sale/flat/229350695/,"Калужская область, Калуга, Московский, Социалистическая улица",3 000 000 ₽
"3-комн. кв., 65,1 м², 9/9 этаж",https://kaluga.cian.ru/sale/flat/229358229/,"Калужская область, Калуга, Октябрьский, Отбойная улица",3 200 000 ₽
"3-комн. кв., 59 м², 2/5 этаж",https://kaluga.cian.ru/sale/flat/229358691/,"Калужская область, Калуга, Ленинский, площадь Победы",3 200 000 ₽
"3-комн. кв., 71 м², 4/9 этаж",https://kaluga.cian.ru/sale/flat/229350879/,"Калужская область, Калуга, Октябрьский, Московская улица",3 250 000 ₽
"3-комн. кв., 70 м², 6/9 этаж",https://kaluga.cian.ru/sale/flat/229357463/,"Калужская область, Калуга, Московский, бульвар Моторостроителей",3 300 000 ₽
"3-комн. кв., 59,6 м², 1/5 этаж",https://kaluga.cian.ru/sale/flat/229350858/,"Калужская область, Калуга, Московский, Московская улица",3 350 000 ₽
"3-комн. кв., 53 м², 3/5 этаж",https://kaluga.cian.ru/sale/flat/229350653/,"Калужская область, Калуга, Ленинский, улица Никитина",3 350 000 ₽
"3-комн. кв., 64 м², 9/9 этаж",https://kaluga.cian.ru/sale/flat/229358919/,"Калужская область, Калуга, Ленинский, улица Стеклянников Сад",3 350 000 ₽
"3-комн. кв., 63 м², 3/5 этаж",https://kaluga.cian.ru/sale/flat/229358459/,"Калужская область, Калуга, Ленинский, улица Степана Разина",3 400 000 ₽
"3-комн. кв., 64 м², 5/9 этаж",https://kaluga.cian.ru/sale/flat/229358731/,"Калужская область, Калуга, Московский, мкр. 30-й, улица Кибальчича",3 400 000 ₽
"3-комн. кв., 60,7 м², 2/5 этаж",https://kaluga.cian.ru/sale/flat/229358476/,"Калужская область, Калуга, Октябрьский, мкр. 906-я база, Гвардейская улица",3 550 000 ₽
"3-комн. кв., 59 м², 3/5 этаж",https://kaluga.cian.ru/sale/flat/229350764/,"Калужская область, Калуга, Московский, улица Карла Либкнехта",3 550 000 ₽
"3-комн. кв., 59,9 м², 5/5 этаж",https://kaluga.cian.ru/sale/flat/229350865/,"Калужская область, Калуга, Ленинский, улица Постовалова",3 570 000 ₽
"3-комн. кв., 63,6 м², 9/9 этаж",https://kaluga.cian.ru/sale/flat/229358707/,"Калужская область, Калуга, Октябрьский, улица Чижевского",3 600 000 ₽
"3-комн. кв., 67 м², 2/9 этаж",https://kaluga.cian.ru/sale/flat/229357563/,"Калужская область, Калуга, Московский, мкр. Байконур, Звездная улица",3 600 000 ₽
"3-комн. кв., 64 м², 6/6 этаж",https://kaluga.cian.ru/sale/flat/229701884/,"Калужская область, Калуга, Октябрьский, улица Максима Горького",3 600 000 ₽
"3-комн. кв., 56 м², 2/5 этаж",https://kaluga.cian.ru/sale/flat/229359022/,"Калужская область, Калуга, Ленинский, улица Суворова",3 660 000 ₽
"3-комн. кв., 60 м², 4/9 этаж",https://kaluga.cian.ru/sale/flat/229359036/,"Калужская область, Калуга, Октябрьский, мкр. Турынино, переулок Советский",3 800 000 ₽
